vector_id	status	accepted_resolver_class	provenance	temperature_k	tint	weight_low	input_as_shot_neutral	normalized_camera_neutral	input_analog_balance	raw_illuminant_tokens_json	input_color_matrices	input_calibration_matrices	input_forward_matrices	white_xy	iterations	interpolated_color_matrix	interpolated_calibration_matrix	interpolated_forward_matrix	reference_neutral	condition_1_t50	neutral_xy_error	neutral_xyz_d50	neutral_xy_d50	t50	camera_to_linear_bt2020	camera_to_normalized_ncl	t50_f32_bits	bt2020_f32_bits	ncl_f32_bits	expected_failure	failure_detail
identity_standard_a_single	PASS	FORWARD_MATRIX_T50	synthetic	2854.8884013102197	-0.05687769465226511	1.0	1.0986745213549338,1,0.35591556210112918	1,0.91018766756032166,0.32394995531724757	ABSENT	[17]	1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1	0.96429567642956771,0,0,0,1,0,0,0,0.82510460251046025	0.44760000000000005,0.40739999999999998	2	1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1	0.96429567642956771,0,0,0,1,0,0,0,0.82510460251046025	1,0.91018766756032166,0.32394995531724757	2.6413190627711884	0.0	0.96429567642956771,1,0.82510460251046025	0.34570000000000001,0.35849999999999999	0.96429567642956771,0,0,0,1.0986745213549338,0,0,0,2.547012552301255	1.5883732818550338,-0.43252827099588909,-0.60099216106612285,-0.6582900472362313,1.8103020634864928,0.03264527226579416,0.028609569480775567,-0.069135079140731526,3.1928275030506126	-0.027358443412637472,1.1096599120601769,0.053587524815039284,0.029748066808447399,-0.62655203104119706,1.6685659499498104,1.095708480447356,-1.0458349267978204,-0.44390321841934233	0x3f76dc15,0x00000000,0x00000000,0x00000000,0x3f8ca15e,0x00000000,0x00000000,0x00000000,0x40230241	0x3fcb4fd1,0xbedd7458,0xbf19da9f,0xbf2885b2,0x3fe7b7fa,0x3d05b70d,0x3cea5e9e,0xbd8d96b1,0x404c5749	0xbce01ed0,0x3f8e0956,0x3d5b7e98,0x3cf3b238,0xbf2065b7,0x3fd59392,0x3f8c402d,0xbf85ddeb,0xbee34748		
identity_d65_single	PASS	FORWARD_MATRIX_T50	synthetic	6503.70718479529	9.769990121404899	1.0	0.95045592705167159,1,1.0890577507598784	0.87273234719508774,0.91822495115824732,1	ABSENT	[21]	1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1	0.96429567642956771,0,0,0,1,0,0,0,0.82510460251046025	0.31269999999999998,0.32900000000000001	2	1,0,0,0,1,0,0,0,1	1,0,0,0,1,0,0,0,1	0.96429567642956771,0,0,0,1,0,0,0,0.82510460251046025	0.87273234719508774,0.91822495115824732,1	1.3391219747826573	5.551115123125783e-17	0.96429567642956782,1,0.82510460251046025	0.34570000000000006,0.35849999999999999	1.1049157047160671,0,0,0,1.0890577507598784,0,0,0,0.82510460251046025	1.8200004697430723,-0.42874232249413108,-0.19469138372338654,-0.75428629333144137,1.7944563700496092,0.010575434491823398,0.032781607754914899,-0.068529935230278879,1.0343163269489251	-0.031348034137345729,1.0999469856152715,0.017359676269393873,0.03408612835774455,-0.62106777976270333,0.54053186493012184,1.2554920004614254,-1.0366806646611979,-0.14380242777212832	0x3f8d6de1,0x00000000,0x00000000,0x00000000,0x3f8b663f,0x00000000,0x00000000,0x00000000,0x3f533a0e	0x3fe8f5c7,0xbedb841d,0xbe475d2e,0xbf4118e8,0x3fe5b0bf,0x3c2d4496,0x3d064602,0xbd8c596c,0x3f84647a	0xbd0066cc,0x3f8ccb10,0x3c8e35e1,0x3d0b9de5,0xbf1efe4c,0x3f0a604c,0x3fa0b3f6,0xbf84b1f4,0xbe1340f2		
nonsymmetric_single	PASS	FORWARD_MATRIX_T50	synthetic	5351.054224596205	-39.84974366500828	1.0	0.55000000000000004,1,0.71999999999999997	0.55000000000000004,1,0.71999999999999997	ABSENT	"[""d65""]"	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.33510039715452533,0.31840375276938615	2	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71447088961490812,-0.00090008929945497597,0.25072487611411459,0.27549999131262326,0.62230001025497883,0.1021999984323979,0.051294071536032777,-0.50594150273302663,1.2797520337074539	0.55000000000000004,1,0.71674055354160016	4.954871251934781	5.551115123125783e-17	0.96429567642956782,1,0.82510460251046014	0.34570000000000006,0.35849999999999999	1.2990379811180148,-0.00090008929945497597,0.34822899460293694,0.5009090751138604,0.62230001025497883,0.14194444226721931,0.093261948247332319,-0.50594150273302663,1.7774333801492417	1.9205508620175353,-0.12708908867033872,0.098314048000964965,-0.060256054992468201,1.0195025846378096,0.018942007788955748,0.12393008959900403,-0.67341241793984274,2.2295150953616534	0.47102416048033402,0.61790309240690433,0.17088002684571152,-0.18448712176109813,-0.68635883403143771,1.0942038208333911,0.98299654247741852,-0.50521645264969683,-0.049210619045671096	0x3fa646e0,0xba6bf3f8,0x3eb24b12,0x3f003b94,0x3f1f4f0e,0x3e1159e2,0x3dbf001f,0xbf018562,0x3fe382f0	0x3ff5d49c,0xbe0223a4,0x3dc958e0,0xbd76cf0e,0x3f827f10,0x3c9b2c45,0x3dfdcf0f,0xbf2c64c2,0x400eb060	0x3ef12a14,0x3f1e2ee6,0x3e2efb2c,0xbe3cea31,0xbf2fb536,0x3f8c0edf,0x3f7ba5a9,0xbf0155de,0xbd499113		
scaled_asn_invariance	PASS	FORWARD_MATRIX_T50	synthetic	5351.054224596205	-39.84974366500828	1.0	1.1000000000000001,2,1.4399999999999999	0.55000000000000004,1,0.71999999999999997	ABSENT	"[""d65""]"	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.33510039715452533,0.31840375276938615	2	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71447088961490812,-0.00090008929945497597,0.25072487611411459,0.27549999131262326,0.62230001025497883,0.1021999984323979,0.051294071536032777,-0.50594150273302663,1.2797520337074539	0.55000000000000004,1,0.71674055354160016	4.954871251934781	5.551115123125783e-17	0.96429567642956782,1,0.82510460251046014	0.34570000000000006,0.35849999999999999	1.2990379811180148,-0.00090008929945497597,0.34822899460293694,0.5009090751138604,0.62230001025497883,0.14194444226721931,0.093261948247332319,-0.50594150273302663,1.7774333801492417	1.9205508620175353,-0.12708908867033872,0.098314048000964965,-0.060256054992468201,1.0195025846378096,0.018942007788955748,0.12393008959900403,-0.67341241793984274,2.2295150953616534	0.47102416048033402,0.61790309240690433,0.17088002684571152,-0.18448712176109813,-0.68635883403143771,1.0942038208333911,0.98299654247741852,-0.50521645264969683,-0.049210619045671096	0x3fa646e0,0xba6bf3f8,0x3eb24b12,0x3f003b94,0x3f1f4f0e,0x3e1159e2,0x3dbf001f,0xbf018562,0x3fe382f0	0x3ff5d49c,0xbe0223a4,0x3dc958e0,0xbd76cf0e,0x3f827f10,0x3c9b2c45,0x3dfdcf0f,0xbf2c64c2,0x400eb060	0x3ef12a14,0x3f1e2ee6,0x3e2efb2c,0xbe3cea31,0xbf2fb536,0x3f8c0edf,0x3f7ba5a9,0xbf0155de,0xbd499113		
dual_a_endpoint	PASS	FORWARD_MATRIX_T50	synthetic	2854.8884013104257	-0.05687769514903285	0.9969507136626945	0.71471119802641259,0.99965556107775655,0.4280095705278677	0.71495745720242132,1,0.42815704447881892	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.447599999999722,0.40739999999949006	5	1.1177229171130687,-0.49185526885963798,-0.06318783705063917,-0.38714766943016932,1.4031135495782874,0.061506981529813778,-0.033051614729153675,0.20892267364840003,0.71418703403312023	1.0014604958677531,0,0,0,1,0,0,0,1.0028340774310125	0.61191093603959779,0.1731668241874392,0.17921791620253061,0.13672445997893928,0.83584684283746824,0.027428697183592574,-0.041416670727296975,-0.58456283112852048,1.4510841043662779	0.71391478760519611,1,0.42694704349860202	7.095984276608855	5.551115123125783e-17	0.96429567642956759,1,0.82510460251046025	0.34569999999999995,0.35849999999999999	0.85587041561040933,0.1731668241874392,0.41857986108972356,0.19123439947592483,0.83584684283746824,0.064062234960960654,-0.057928860395914356,-0.58456283112852048,3.3891398566912132	1.3481601805319274,0.094113241462673469,-0.13544192904247856,-0.26991477789584023,1.251529890940938,-0.13675427843642013,-0.059258058187524047,-0.78024205506787869,4.2568703917670776	0.16764545716183749,0.82699246072467525,0.12413241869243571,-0.12060354807556158,-0.85427581364545213,2.1966290916735631,0.80056606765908722,-0.49700204751254695,-0.17603034567673562	0x3f5b1a53,0x3e3152a5,0x3ed65019,0x3e43d2f3,0x3f55fa0f,0x3d833310,0xbd6d46d0,0xbf15a5e9,0x4058e7ab	0x3fac9083,0x3dc0be71,0xbe0ab14a,0xbe8a3245,0x3fa03222,0xbe0c0950,0xbd72b894,0xbf47bdf1,0x40883848	0x3e2bab40,0x3f53b5c7,0x3dfe3923,0xbdf6fefe,0xbf5ab1d2,0x400c9592,0x3f4cf1e6,0xbefe770d,0xbe34414d		
dual_d65_endpoint	PASS	FORWARD_MATRIX_T50	synthetic	6503.70718479529	9.769990121404899	0.0	0.44491266464888135,1.0000294137788204,0.69825499663037993	0.44489957847108291,1,0.69823445891644065	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.31269999999999998,0.32900000000000001	7	0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1,0,0,0,1,0,0,0,1.0045475959777832	0.71447088961490812,-0.00090008929945497597,0.25072487611411459,0.27549999131262326,0.62230001025497883,0.1021999984323979,0.051294071536032777,-0.50594150273302663,1.2797520337074539	0.44489957847108291,1,0.69507354525776299	5.026460873946677	0.0	0.96429567642956771,1,0.82510460251046014	0.34570000000000001,0.35849999999999999	1.6059149619116722,-0.00090008929945497597,0.3590840768632409,0.61924084589918282,0.62230001025497883,0.14636917030849148,0.11529359437090753,-0.50594150273302663,1.832839982852529	2.3742503369854293,-0.12708908867033872,0.10137871836137194,-0.074490585852536401,1.0195025846378096,0.019532472844741473,0.15320659442675219,-0.67341241793984274,2.2990141035885117	0.58229609736755894,0.61790309240690433,0.17620674224506586,-0.22806925849941898,-0.68635883403143771,1.1283126189770627,1.2152137797489966,-0.50521645264969683,-0.050744624904173308	0x3fcd8e9f,0xba6bf3f8,0x3eb7d9de,0x3f1e8691,0x3f1f4f0e,0x3e15e1cd,0x3dec1f0c,0xbf018562,0x3fea9a80	0x4017f3b8,0xbe0223a4,0x3dcf9fa5,0xbd988e85,0x3f827f10,0x3ca00291,0x3e1ce231,0xbf2c64c2,0x4013230c	0x3f15115b,0x3f1e2ee6,0x3e346f8a,0xbe698afd,0xbf2fb536,0x3f906c8c,0x3f9b8c20,0xbf0155de,0xbd4fd999		
dual_reciprocal_midpoint	PASS	FORWARD_MATRIX_T50	synthetic	3962.5676813017008	-5.650323891590604e-06	0.4999997296560277	0.57189865139713092,1.0075043365239247,0.56399189119286253	0.56763889808185486,1,0.55979103091381055	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.38207831203496512,0.37770301972023124	7	0.90959987643259521,-0.28899988299967577,-0.093800017499574562,-0.4927000679591661,1.4868000604985929,0.030049983586928845,-0.12295005145630541,0.32670005857597412,0.56539990854475486	1.0007324810836009,0,0,0,1,0,0,0,1.0036882166740679	0.66303409503878252,0.086399521897726914,0.21486205949305831,0.20590003296083054,0.72939994718954537,0.064700019849624132,0.0047969424075829277,-0.54537238171652369,1.3656800418194011	0.5672234176582448,1,0.55773398712280986	5.744605700613435	5.551115123125783e-17	0.96429567642956782,1,0.82510460251046025	0.34570000000000006,0.35849999999999999	1.1680561308946298,0.086399521897726914,0.38382547705759873,0.36273066144092769,0.72939994718954537,0.11557887903992842,0.0084506936078422128,-0.54537238171652369,2.4396247285170793	1.7792099087036488,-0.016149697434585081,0.011077250365383554,-0.19960507141928793,1.1358710157292107,-0.040313995207062185,0.022423194295411862,-0.72699058278916517,3.0623254229162211	0.3333959000158892,0.72276748158894188,0.15717300249953001,-0.16528792692701041,-0.77057407482625007,1.5441439462191406,0.98047877979639197,-0.50109668996577172,-0.099074835300519803	0x3f9582dd,0x3db0f23c,0x3ec484c6,0x3eb9b7d5,0x3f3ab9f4,0x3decb49f,0x3c0a74c7,0xbf0b9d86,0x401c22d0	0x3fe3bd26,0xbc844c5f,0x3c357d5b,0xbe4c6546,0x3f916439,0xbd25204a,0x3cb7b0d9,0xbf3a1c0e,0x4043fd24	0x3eaab2de,0x3f39074a,0x3e20f1f6,0xbe29413d,0xbf454458,0x3fc5a682,0x3f7b00a8,0xbf0047df,0xbdcae7bf		
dual_near_a	PASS	FORWARD_MATRIX_T50	synthetic	3099.935003363801	-0.0004612195612612065	0.8564196566912686	0.66626253349671205,1.0038543340830195,0.46419570471065269	0.66370439502591383,1,0.46241340894809879	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.42893586898590935,0.4018767106205085	6	1.0588685193390186,-0.43449049304733278,-0.071844550113171701,-0.41699646862471945,1.4267789697351443,0.052611365438222979,-0.058473683987348368,0.24222853463645361,0.67211203532793684	1.0012546230746602,0,0,0,1,0,0,0,1.0030756165253907	0.62636787807430216,0.14863019765131202,0.18929760070395343,0.15628638198052397,0.80574509188383903,0.037968526135637087,-0.02834808225615288,-0.57348029893460251,1.4269329837012157	0.66287273959125947,1,0.46099556337525011	6.63670955052251	5.551115123125783e-17	0.96429567642956759,1,0.82510460251046025	0.34569999999999995,0.35849999999999999	0.94374526184936003,0.14863019765131202,0.40936875324305344,0.23547588828972857,0.80574509188383903,0.082109483420924473,-0.042711909802926724,-0.57348029893460251,3.0858382479591424	1.4718986413038759,0.06293236478329528,-0.086152263923255312,-0.25681139683530291,1.2188231160180167,-0.1046169127225966,-0.040359518141341394,-0.76518325465203763,3.8752553657558497	0.21015632659041125,0.79751903788792133,0.13624017663076221,-0.13315395170179267,-0.83060608724352014,1.9873579191692823,0.85565055927944167,-0.49815995734750168,-0.15081543506986136	0x3f71994a,0x3e183284,0x3ed198c8,0x3e712097,0x3f4e454f,0x3da82904,0xbd2ef2af,0xbf12cf9b,0x40457e60	0x3fbc672d,0x3d80e2af,0xbdb07099,0xbe837cc9,0x3f9c0265,0xbdd64164,0xbd255006,0xbf43e30d,0x4078042f	0x3e573338,0x3f4c2a35,0x3e0b828b,0xbe085982,0xbf54a29a,0x3ffe61bf,0x3f5b0bea,0xbeff0ed2,0xbe1a6f5d		
dual_near_d65	PASS	FORWARD_MATRIX_T50	synthetic	6000.012587040013	1.1242196168076932e-05	0.06506671861166606	0.46923759083774985,0.99434251451595923,0.69157502516037483	0.47190740010364768,1,0.69550986210926524	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.32207410539810621,0.33156550771747378	10	0.72744995890742503,-0.11146023297766158,-0.12059189083473268,-0.58507984784215583,1.5600427491132853,0.0025187234143326572,-0.2016294364102883,0.42977918369708146,0.43518096427072178	1.0000953203326486,0,0,0,1,0,0,0,1.0044357619346449	0.70777723911779034,0.010460515316436755,0.24605792199534066,0.26644270460453795,0.63623730071040108,0.097319994685061015,0.045243237029917213,-0.51107278132230682,1.2909341468028497	0.47186242202061623,1,0.69243837034400568	5.009204004199431	7.850462293418876e-17	0.96429567642956771,1,0.82510460251045981	0.34570000000000006,0.35850000000000004	1.4998222934464203,0.010460515316436755,0.35378063691163691,0.56460802383267905,0.63623730071040108,0.13992611749590397,0.095873124727393941,-0.51107278132230682,1.8560975438764411	2.2255864950809063,-0.11265215655949098,0.089691639699957235,-0.092333142064419546,1.0346460167478915,0.01283472277453851,0.1291520818419914,-0.68038473246164977,2.3284168888567196	0.52971842039130768,0.6315494631919164,0.17033905729951934,-0.21290865235958134,-0.69731805870817798,1.1470595469103859,1.1500529463512807,-0.50468033348122021,-0.054691046792053527	0x3fbffa2d,0x3c2b6295,0x3eb522bc,0x3f108a27,0x3f22e073,0x3e0f48cb,0x3dc45921,0xbf02d5aa,0x3fed949b	0x400e7002,0xbde6b62d,0x3db7b040,0xbdbd1929,0x3f846f48,0x3c5248bb,0x3e044071,0xbf2e2db2,0x401504c8	0x3f079ba0,0x3f21ad3a,0x3e2e6d5d,0xbe5a04ba,0xbf328370,0x3f92d2d9,0x3f9334ef,0xbf0132bb,0xbd6003b8		
dual_below_a_clamp	PASS	FORWARD_MATRIX_T50	synthetic	2400.0005555181174	6.287387411773756e-07	1.0	0.8050142851060974,0.96421634313384219,0.34249802129476115	0.83488969134217828,1,0.35520868706870617	ABSENT	"[""standarda"",""d65""]"	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894|0.70020002126693726,-0.08489999920129776,-0.12460000067949295,-0.59890002012252808,1.5709999799728394,-0.0015999999595806003,-0.21340000629425049,0.44519999623298645,0.41569998860359192	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104|1,0,0,0,1,0,0,0,1.0045475959777832	0.61159998178482056,0.1737000048160553,0.17900000512599945,0.13629999756813049,0.83649998903274536,0.027200000360608101,-0.041700001806020737,-0.58480000495910645,1.4515999555587769|0.71439999341964722,-0.00089999998454004526,0.25069999694824219,0.27549999952316284,0.62230002880096436,0.10220000147819519,0.05130000039935112,-0.50599998235702515,1.2798999547958374	0.48606507632696866,0.41455036335060602	3	1.1189999580383301,-0.49309998750686646,-0.063000001013278961,-0.38650000095367432,1.4026000499725342,0.061700001358985901,-0.032499998807907104,0.20819999277591705,0.7150999903678894	1.0014649629592896,0,0,0,1,0,0,0,1.00282883644104	0.61159724484011724,0.17369922749865455,0.17899920409079587,0.13629999934528023,0.83649999993946411,0.027200000715255749,-0.041700237001768468,-0.58480330333964559,1.4516081428518743	0.83366839801875048,1,0.35420669426431095	8.664067953333811	5.551115123125783e-17	0.96429567642956759,1,0.82510460251046047	0.34569999999999995,0.35849999999999999	0.73254856441802085,0.17369922749865455,0.50392687624830801,0.16325509915706682,0.83649999993946411,0.076574705815104671,-0.049947001902407834,-0.58480330333964559,4.0866346902464619	1.1541578364449783,0.094789813768416331,-0.16436617606378384,-0.23172697427039629,1.2522395726586957,-0.16546079185011284,-0.051150535290942947,-0.78056880557665453,5.1329652865303679	0.14305314833601415,0.82763198416886308,0.14902343016491831,-0.10322296355211924,-0.8547894066894427,2.6490601979193418,0.68568065109790055,-0.49697692282683215,-0.21252516358924606	0x3f3b884d,0x3e31de36,0x3f01015a,0x3e272c58,0x3f5624dd,0x3d9cd333,0xbd4c953a,0xbf15b5ab,0x4082c5b6	0x3f93bb72,0x3dc22129,0xbe284f9b,0xbe6d49d6,0x3fa04963,0xbe296e8e,0xbd518339,0xbf47d35b,0x40a44140	0x3e127c86,0x3f53dfb1,0x3e189999,0xbdd36690,0xbf5ad37b,0x40298a34,0x3f2f88c4,0xbefe73c2,0xbe59a032		
